Relative density,Number of polygonal cells,Mean of cell edge number,Variance of cell edge number,Skewness of cell edge number,Kurtosis of cell edge number,Mean of cell area,Variance of cell area,Skewness of cell area,Kurtosis of cell area,Mean of cell compactness,Variance of cell compactness,Skewness of cell compactness,Kurtosis of cell compactness,Mean of cell eccentricity,Variance of cell eccentricity,Skewness of cell eccentricity,Kurtosis of cell eccentricity,Mean of strut length,Variance of strut length,Skewness of strut length,Kurtosis of strut length,Mean of strut orientation,Variance of strut orientation,Skewness of strut orientation,Kurtosis of strut orientation,Mean of nodal connectivity,Variance of nodal connectivity,Skewness of nodal connectivity,Kurtosis of nodal connectivity,Mean of neighboring seed distance,Variance of neighboring seed distance,Skewness of neighboring seed distance,Kurtosis of neighboring seed distance,Mean of neighboring seed angle sine,Variance of neighboring seed angle sine,Skewness of neighboring seed angle sine,Kurtosis of neighboring seed angle sine,Mean of neighboring seed angle cosine,Variance of neighboring seed angle cosine,Skewness of neighboring seed angle cosine,Kurtosis of neighboring seed angle cosine,Relative stiffness
0.1,960,3.2073,0.19369,1.9452,5.9419,0.00066578,1.64E-09,0.1385,4.0961,0.61121,0.00026349,1.942,5.5916,0.86993,0.0014215,-0.31475,4.2352,0.036583,6.74E-05,-3.4652,13.482,49.274,762.04,0.69953,1.5431,5.3094,1.2447,-1.3319,3.1358,0.02166,7.73E-07,-0.58654,3.6354,-0.00069309,0.030822,-0.014748,2.4729,0.00027267,0.03299,0.024688,2.3201,0.032899
0.15,960,3.2073,0.19369,1.9452,5.9419,0.00066578,1.64E-09,0.1385,4.0961,0.61121,0.00026349,1.942,5.5916,0.86993,0.0014215,-0.31475,4.2352,0.036583,6.74E-05,-3.4652,13.482,49.274,762.04,0.69953,1.5431,5.3094,1.2447,-1.3319,3.1358,0.02166,7.73E-07,-0.58654,3.6354,-0.00069309,0.030822,-0.014748,2.4729,0.00027267,0.03299,0.024688,2.3201,0.050435
0.2,960,3.2073,0.19369,1.9452,5.9419,0.00066578,1.64E-09,0.1385,4.0961,0.61121,0.00026349,1.942,5.5916,0.86993,0.0014215,-0.31475,4.2352,0.036583,6.74E-05,-3.4652,13.482,49.274,762.04,0.69953,1.5431,5.3094,1.2447,-1.3319,3.1358,0.02166,7.73E-07,-0.58654,3.6354,-0.00069309,0.030822,-0.014748,2.4729,0.00027267,0.03299,0.024688,2.3201,0.068697
0.01,1323,3.3658,0.33656,1.4995,5.2049,0.00048112,1.84E-09,0.22768,4.0926,0.61679,0.00049627,1.5323,5.1737,0.87034,0.0021456,-0.20806,3.7409,0.029534,7.59E-05,-2.4563,7.3196,49.065,752.09,0.64953,1.573,4.9348,1.5235,-0.64024,1.7458,0.018002,8.68E-07,-0.099223,4.7182,-0.0015671,0.030549,-0.0052802,2.4645,0.0012598,0.028814,-0.002025,2.4997,0.0028475
0.05,1323,3.3658,0.33656,1.4995,5.2049,0.00048112,1.84E-09,0.22768,4.0926,0.61679,0.00049627,1.5323,5.1737,0.87034,0.0021456,-0.20806,3.7409,0.029534,7.59E-05,-2.4563,7.3196,49.065,752.09,0.64953,1.573,4.9348,1.5235,-0.64024,1.7458,0.018002,8.68E-07,-0.099223,4.7182,-0.0015671,0.030549,-0.0052802,2.4645,0.0012598,0.028814,-0.002025,2.4997,0.014608
0.1,1323,3.3658,0.33656,1.4995,5.2049,0.00048112,1.84E-09,0.22768,4.0926,0.61679,0.00049627,1.5323,5.1737,0.87034,0.0021456,-0.20806,3.7409,0.029534,7.59E-05,-2.4563,7.3196,49.065,752.09,0.64953,1.573,4.9348,1.5235,-0.64024,1.7458,0.018002,8.68E-07,-0.099223,4.7182,-0.0015671,0.030549,-0.0052802,2.4645,0.0012598,0.028814,-0.002025,2.4997,0.030568
0.15,1323,3.3658,0.33656,1.4995,5.2049,0.00048112,1.84E-09,0.22768,4.0926,0.61679,0.00049627,1.5323,5.1737,0.87034,0.0021456,-0.20806,3.7409,0.029534,7.59E-05,-2.4563,7.3196,49.065,752.09,0.64953,1.573,4.9348,1.5235,-0.64024,1.7458,0.018002,8.68E-07,-0.099223,4.7182,-0.0015671,0.030549,-0.0052802,2.4645,0.0012598,0.028814,-0.002025,2.4997,0.047884
0.2,1323,3.3658,0.33656,1.4995,5.2049,0.00048112,1.84E-09,0.22768,4.0926,0.61679,0.00049627,1.5323,5.1737,0.87034,0.0021456,-0.20806,3.7409,0.029534,7.59E-05,-2.4563,7.3196,49.065,752.09,0.64953,1.573,4.9348,1.5235,-0.64024,1.7458,0.018002,8.68E-07,-0.099223,4.7182,-0.0015671,0.030549,-0.0052802,2.4645,0.0012598,0.028814,-0.002025,2.4997,0.066261
0.01,819,3.6947,0.82113,1.3783,4.7653,0.00079295,1.34E-08,0.39127,4.0712,0.62825,0.0011605,1.3257,4.4967,0.87433,0.0028277,-0.29473,3.0153,0.034261,0.00018504,-1.5496,3.5976,48.121,740.8,0.57889,1.7098,4.3757,1.5149,0.10137,1.4034,0.022538,2.43E-06,0.46655,4.4715,-0.00069998,0.024167,0.011237,2.7239,-0.00054286,0.025141,-0.066833,2.5874,0.0019366
0.05,819,3.6947,0.82113,1.3783,4.7653,0.00079295,1.34E-08,0.39127,4.0712,0.62825,0.0011605,1.3257,4.4967,0.87433,0.0028277,-0.29473,3.0153,0.034261,0.00018504,-1.5496,3.5976,48.121,740.8,0.57889,1.7098,4.3757,1.5149,0.10137,1.4034,0.022538,2.43E-06,0.46655,4.4715,-0.00069998,0.024167,0.011237,2.7239,-0.00054286,0.025141,-0.066833,2.5874,0.010985
0.1,819,3.6947,0.82113,1.3783,4.7653,0.00079295,1.34E-08,0.39127,4.0712,0.62825,0.0011605,1.3257,4.4967,0.87433,0.0028277,-0.29473,3.0153,0.034261,0.00018504,-1.5496,3.5976,48.121,740.8,0.57889,1.7098,4.3757,1.5149,0.10137,1.4034,0.022538,2.43E-06,0.46655,4.4715,-0.00069998,0.024167,0.011237,2.7239,-0.00054286,0.025141,-0.066833,2.5874,0.025248
0.15,819,3.6947,0.82113,1.3783,4.7653,0.00079295,1.34E-08,0.39127,4.0712,0.62825,0.0011605,1.3257,4.4967,0.87433,0.0028277,-0.29473,3.0153,0.034261,0.00018504,-1.5496,3.5976,48.121,740.8,0.57889,1.7098,4.3757,1.5149,0.10137,1.4034,0.022538,2.43E-06,0.46655,4.4715,-0.00069998,0.024167,0.011237,2.7239,-0.00054286,0.025141,-0.066833,2.5874,0.041942
0.2,819,3.6947,0.82113,1.3783,4.7653,0.00079295,1.34E-08,0.39127,4.0712,0.62825,0.0011605,1.3257,4.4967,0.87433,0.0028277,-0.29473,3.0153,0.034261,0.00018504,-1.5496,3.5976,48.121,740.8,0.57889,1.7098,4.3757,1.5149,0.10137,1.4034,0.022538,2.43E-06,0.46655,4.4715,-0.00069998,0.024167,0.011237,2.7239,-0.00054286,0.025141,-0.066833,2.5874,0.060217
0.01,1316,3.8465,1.1825,1.3647,4.6227,0.00048071,8.53E-09,0.40556,3.7501,0.63495,0.0018342,1.2897,4.3194,0.86867,0.0033865,-0.11659,2.9438,0.02536,0.00012217,-1.249,2.7816,48.205,730.23,0.52802,1.7122,4.1614,1.3665,0.42775,1.668,0.017277,2.03E-06,0.068662,3.5857,-0.0014936,0.022728,-0.010034,2.5548,0.00040874,0.024022,-0.015115,2.7305,0.0012036
0.05,1316,3.8465,1.1825,1.3647,4.6227,0.00048071,8.53E-09,0.40556,3.7501,0.63495,0.0018342,1.2897,4.3194,0.86867,0.0033865,-0.11659,2.9438,0.02536,0.00012217,-1.249,2.7816,48.205,730.23,0.52802,1.7122,4.1614,1.3665,0.42775,1.668,0.017277,2.03E-06,0.068662,3.5857,-0.0014936,0.022728,-0.010034,2.5548,0.00040874,0.024022,-0.015115,2.7305,0.0081568
0.1,1316,3.8465,1.1825,1.3647,4.6227,0.00048071,8.53E-09,0.40556,3.7501,0.63495,0.0018342,1.2897,4.3194,0.86867,0.0033865,-0.11659,2.9438,0.02536,0.00012217,-1.249,2.7816,48.205,730.23,0.52802,1.7122,4.1614,1.3665,0.42775,1.668,0.017277,2.03E-06,0.068662,3.5857,-0.0014936,0.022728,-0.010034,2.5548,0.00040874,0.024022,-0.015115,2.7305,0.020745
0.15,1316,3.8465,1.1825,1.3647,4.6227,0.00048071,8.53E-09,0.40556,3.7501,0.63495,0.0018342,1.2897,4.3194,0.86867,0.0033865,-0.11659,2.9438,0.02536,0.00012217,-1.249,2.7816,48.205,730.23,0.52802,1.7122,4.1614,1.3665,0.42775,1.668,0.017277,2.03E-06,0.068662,3.5857,-0.0014936,0.022728,-0.010034,2.5548,0.00040874,0.024022,-0.015115,2.7305,0.036321
0.2,1316,3.8465,1.1825,1.3647,4.6227,0.00048071,8.53E-09,0.40556,3.7501,0.63495,0.0018342,1.2897,4.3194,0.86867,0.0033865,-0.11659,2.9438,0.02536,0.00012217,-1.249,2.7816,48.205,730.23,0.52802,1.7122,4.1614,1.3665,0.42775,1.668,0.017277,2.03E-06,0.068662,3.5857,-0.0014936,0.022728,-0.010034,2.5548,0.00040874,0.024022,-0.015115,2.7305,0.053823
0.01,981,4.0571,0.65184,0.43148,2.8336,0.00064175,3.21E-09,0.085649,2.8151,0.64717,0.0011943,0.24384,2.4855,0.89676,0.0042195,-0.50407,2.6671,0.027822,0.00017288,-1.0582,2.2821,47.474,715.69,0.42967,1.7304,3.9428,1.132,0.67981,2.08,0.020195,3.82E-06,0.92149,4.0531,-0.0014265,0.023082,0.024145,2.7124,-0.0021794,0.022314,-0.037953,2.5442,0.00060159
0.05,981,4.0571,0.65184,0.43148,2.8336,0.00064175,3.21E-09,0.085649,2.8151,0.64717,0.0011943,0.24384,2.4855,0.89676,0.0042195,-0.50407,2.6671,0.027822,0.00017288,-1.0582,2.2821,47.474,715.69,0.42967,1.7304,3.9428,1.132,0.67981,2.08,0.020195,3.82E-06,0.92149,4.0531,-0.0014265,0.023082,0.024145,2.7124,-0.0021794,0.022314,-0.037953,2.5442,0.0059047
0.1,981,4.0571,0.65184,0.43148,2.8336,0.00064175,3.21E-09,0.085649,2.8151,0.64717,0.0011943,0.24384,2.4855,0.89676,0.0042195,-0.50407,2.6671,0.027822,0.00017288,-1.0582,2.2821,47.474,715.69,0.42967,1.7304,3.9428,1.132,0.67981,2.08,0.020195,3.82E-06,0.92149,4.0531,-0.0014265,0.023082,0.024145,2.7124,-0.0021794,0.022314,-0.037953,2.5442,0.017629
