842, 429, 430
843, 431, 432
844, 572, 421
845, 421, 181
846, 422, 433
847, 181, 422
848, 434, 423
849, 423, 183
850, 424, 436
851, 183, 424
852, 437, 425
853, 425, 182
854, 426, 439
855, 182, 426
856, 440, 427
857, 427, 184
858, 428, 442
859, 184, 428
860, 443, 429
861, 429, 185
862, 430, 445
863, 185, 430
864, 446, 431
865, 431, 186
866, 432, 448
867, 186, 432
868, 449, 626
869, 433, 434
870, 436, 437
871, 439, 440
872, 442, 443
873, 445, 446
874, 448, 449
875, 193, 433
876, 433, 435
877, 434, 189
878, 435, 434
879, 190, 436
880, 436, 438
881, 437, 195
882, 438, 437
883, 196, 439
884, 439, 441
885, 440, 191
886, 441, 440
887, 197, 442
888, 442, 444
889, 443, 198
890, 444, 443
891, 194, 445
892, 445, 447
893, 446, 187
894, 447, 446
895, 188, 448
896, 448, 450
897, 449, 192
898, 450, 449
899, 573, 181
900, 181, 193
901, 193, 435
902, 208, 193
903, 435, 189
904, 451, 435
905, 189, 183
906, 183, 190
907, 203, 189
908, 190, 438
909, 207, 190
910, 438, 195
911, 452, 438
912, 195, 182
913, 182, 196
914, 199, 195
915, 196, 441
916, 210, 196
917, 441, 191
918, 453, 441
919, 191, 184
920, 184, 197
921, 202, 191
922, 197, 444
923, 209, 197
924, 444, 198
925, 454, 444
926, 198, 185
927, 185, 194
928, 201, 198
929, 194, 447
930, 205, 194
931, 447, 187
932, 455, 447
933, 187, 186
934, 186, 188
935, 204, 187
936, 188, 450
937, 206, 188
938, 450, 192
939, 456, 450
940, 192, 574
941, 200, 192
942, 208, 451
943, 451, 203
944, 207, 452
945, 452, 199
946, 210, 453
947, 453, 202
948, 209, 454
949, 454, 201
950, 205, 455
951, 455, 204
952, 206, 456
953, 456, 200
954, 457, 451
955, 451, 458
956, 459, 452
957, 452, 460
958, 461, 453
959, 453, 462
960, 463, 454
961, 454, 464
962, 465, 455
963, 455, 466
964, 467, 456
965, 456, 468
966, 575, 213
967, 213, 208
968, 208, 457
969, 203, 214
970, 458, 203
971, 214, 207
972, 207, 459
973, 199, 216
974, 460, 199
975, 216, 210
976, 210, 461
977, 202, 212
978, 462, 202
979, 212, 209
980, 209, 463
981, 201, 215
982, 464, 201
983, 215, 205
984, 205, 465
985, 204, 211
986, 466, 204
987, 211, 206
988, 206, 467
989, 200, 576
990, 468, 200
991, 469, 213
992, 213, 470
993, 472, 214
994, 214, 473
995, 475, 216
996, 216, 476
997, 478, 212
998, 212, 479
999, 481, 215
1000, 215, 482
1001, 484, 211
1002, 211, 485
1003, 457, 458
1004, 459, 460
1005, 461, 462
1006, 463, 464
1007, 465, 466
1008, 467, 468
1009, 577, 469
1010, 470, 457
1011, 457, 218
1012, 458, 472
1013, 218, 458
1014, 473, 459
1015, 459, 220
1016, 460, 475
1017, 220, 460
1018, 476, 461
1019, 461, 221
1020, 462, 478
1021, 221, 462
1022, 479, 463
1023, 463, 219
1024, 464, 481
1025, 219, 464
1026, 482, 465
1027, 465, 222
1028, 466, 484
1029, 222, 466
1030, 485, 467
1031, 467, 217
1032, 468, 627
1033, 217, 468
1034, 469, 470
1035, 472, 473
1036, 475, 476
1037, 478, 479
1038, 481, 482
1039, 484, 485
1040, 578, 469
1041, 469, 471
1042, 470, 229
1043, 471, 470
1044, 228, 472
1045, 472, 474
1046, 473, 227
1047, 474, 473
1048, 230, 475
1049, 475, 477
1050, 476, 226
1051, 477, 476
1052, 231, 478
1053, 478, 480
1054, 479, 232
1055, 480, 479
1056, 233, 481
1057, 481, 483
1058, 482, 225
1059, 483, 482
1060, 224, 484
1061, 484, 486
1062, 485, 223
1063, 486, 485
1064, 234, 627
1065, 579, 471
1066, 471, 229
1067, 487, 471
1068, 229, 218
1069, 218, 228
1070, 245, 229
1071, 228, 474
1072, 237, 228
1073, 474, 227
1074, 488, 474
1075, 227, 220
1076, 220, 230
1077, 243, 227
1078, 230, 477
1079, 239, 230
1080, 477, 226
1081, 489, 477
1082, 226, 221
1083, 221, 231
1084, 246, 226
1085, 231, 480
1086, 235, 231
1087, 480, 232
1088, 490, 480
1089, 232, 219
1090, 219, 233
1091, 244, 232
1092, 233, 483
1093, 236, 233
1094, 483, 225
1095, 491, 483
1096, 225, 222
1097, 222, 224
1098, 242, 225
1099, 224, 486
1100, 240, 224
1101, 486, 223
1102, 492, 486
1103, 223, 217
1104, 217, 234
1105, 241, 223
1106, 234, 580
1107, 238, 234
1108, 581, 487
1109, 487, 245
1110, 237, 488
1111, 488, 243
1112, 239, 489
1113, 489, 246
1114, 235, 490
1115, 490, 244
1116, 236, 491
1117, 491, 242
1118, 240, 492
1119, 492, 241
1120, 238, 582
1121, 493, 487
1122, 487, 494
1123, 495, 488
1124, 488, 496
1125, 497, 489
1126, 489, 498
1127, 499, 490
